"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","시도구도구분"
"3563","독산로47가길","일반도로","국지도로","소로","6m미만","구도"
"3564","독산로47길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3565","독산로49길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3566","독산로5길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3567","독산로50가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3568","독산로50길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3569","독산로50나길","일반도로","국지도로","소로","6m미만","구도"
"3570","독산로50다길","일반도로","국지도로","소로1류","폭10-12m","구도"
"3571","독산로50라길","일반도로","국지도로","중로2류","폭15-20m","구도"
"3572","독산로50마길","일반도로","국지도로","소로","6m미만","구도"
"3573","독산로51길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3574","독산로52길","일반도로","국지도로","소로1류","폭10-12m","구도"
"3575","독산로53길","일반도로","국지도로","소로","6m미만","구도"
